name,subheading,category,description,base_price,rating_average,rating_count,image_id,temperature,roast_level,bean_type,ingredients,is_available,size_prices
Drip Coffee,Freshly Brewed,Coffee,"The traditional method of brewing where hot water slowly passes through grounds.",2.50,4.2,350,6936689d0023b7bf5b53,hot,medium,ARABICA,"[""Ground Coffee"",""Hot Water""]",true,"[{""size"": ""Small"", ""price"": ""2.50""}, {""size"": ""Medium"", ""price"": ""3.00""}, {""size"": ""Large"", ""price"": ""3.50""}]"
Dark Roast,Bold & Intense,Coffee,"A full-bodied dark roast with smoky undertones for those who like it strong.",2.75,4.3,85,6936689d0023b7bf5b53,hot,dark,ROBUSTA,"[""Dark Roast Coffee"",""Water""]",true,"[{""size"": ""Small"", ""price"": ""2.75""}, {""size"": ""Medium"", ""price"": ""3.25""}, {""size"": ""Large"", ""price"": ""3.75""}]"
Classic Espresso,Pure Energy,Espresso,"A concentrated shot of coffee served in a small cup. Rich and intense.",2.00,4.8,450,693624f2000e7f40bb77,hot,dark,ARABICA,"[""Espresso""]",true,"[{""size"": ""Small"", ""price"": ""2.00""}, {""size"": ""Medium"", ""price"": ""2.75""}, {""size"": ""Large"", ""price"": ""3.50""}]"
Americano,Smooth & Rich,Espresso,"Espresso diluted with hot water. Similar strength to brewed coffee but different flavor.",3.00,4.3,250,693624f2000e7f40bb77,hot,dark,ARABICA,"[""Espresso"",""Hot Water""]",true,"[{""size"": ""Small"", ""price"": ""3.00""}, {""size"": ""Medium"", ""price"": ""3.50""}, {""size"": ""Large"", ""price"": ""4.00""}]"
Cappuccino,Foamy Delight,Espresso,"Equal parts espresso, steamed milk, and milk foam.",4.00,4.6,500,6936217b0027f5a66177,hot,medium,ARABICA,"[""Espresso"",""Steamed Milk"",""Foam""]",true,"[{""size"": ""Small"", ""price"": ""4.00""}, {""size"": ""Medium"", ""price"": ""4.50""}, {""size"": ""Large"", ""price"": ""5.00""}]"
Flat White,Silky Smooth,Espresso,"Espresso with microfoam (steamed milk with fine bubbles).",4.00,4.7,220,6936218900185a5bd1a7,hot,medium,ARABICA,"[""Espresso"",""Microfoam""]",true,"[{""size"": ""Small"", ""price"": ""4.00""}, {""size"": ""Medium"", ""price"": ""4.50""}, {""size"": ""Large"", ""price"": ""5.00""}]"
Classic Latte,Milky & Smooth,Latte,"Espresso with plenty of steamed milk and a thin layer of foam.",4.25,4.5,480,6936219b0027aaeff97d,hot,medium,ARABICA,"[""Espresso"",""Steamed Milk""]",true,"[{""size"": ""Small"", ""price"": ""4.25""}, {""size"": ""Medium"", ""price"": ""4.75""}, {""size"": ""Large"", ""price"": ""5.25""}]"
Vanilla Latte,Aromatic Sweetness,Latte,"Classic latte with rich vanilla syrup.",4.75,4.6,510,6936219b0027aaeff97d,hot,medium,ARABICA,"[""Espresso"",""Vanilla"",""Milk""]",true,"[{""size"": ""Small"", ""price"": ""4.75""}, {""size"": ""Medium"", ""price"": ""5.25""}, {""size"": ""Large"", ""price"": ""5.75""}]"
Caramel Latte,Buttery Sweet,Latte,"Espresso and milk sweetened with caramel syrup.",4.75,4.7,430,6936219b0027aaeff97d,hot,medium,ARABICA,"[""Espresso"",""Caramel"",""Milk""]",true,"[{""size"": ""Small"", ""price"": ""4.75""}, {""size"": ""Medium"", ""price"": ""5.25""}, {""size"": ""Large"", ""price"": ""5.75""}]"
Mocha,Chocolate Lover,Espresso,"Espresso mixed with rich chocolate syrup and steamed milk.",4.75,4.8,450,693621a90013a34a37d8,hot,medium,ARABICA,"[""Espresso"",""Chocolate"",""Milk""]",true,"[{""size"": ""Small"", ""price"": ""4.75""}, {""size"": ""Medium"", ""price"": ""5.25""}, {""size"": ""Large"", ""price"": ""5.75""}]"
Earl Grey,Citrus & Bergamot,Tea,"Classic British black tea flavored with oil of bergamot.",3.00,4.5,300,693624de002dc2380cca,hot,medium,ARABICA,"[""Black Tea"",""Bergamot""]",true,"[{""size"": ""Small"", ""price"": ""3.00""}, {""size"": ""Medium"", ""price"": ""3.50""}, {""size"": ""Large"", ""price"": ""4.00""}]"
Green Tea,Earth & Fresh,Tea,"Steamed green tea leaves rich in antioxidants.",3.00,4.6,310,693624de002dc2380cca,hot,medium,ARABICA,"[""Green Tea""]",true,"[{""size"": ""Small"", ""price"": ""3.00""}, {""size"": ""Medium"", ""price"": ""3.50""}, {""size"": ""Large"", ""price"": ""4.00""}]"
Chai Tea Latte,Spiced Comfort,Tea,"Black tea spiced with cinnamon and cardamom mixed with steamed milk.",4.50,4.8,550,6936250a0019e93dde99,hot,medium,ARABICA,"[""Chai Concentrate"",""Milk""]",true,"[{""size"": ""Small"", ""price"": ""4.50""}, {""size"": ""Medium"", ""price"": ""5.00""}, {""size"": ""Large"", ""price"": ""5.50""}]"
Cold Brew,Slow Steeped,Speciality Drinks,"Coffee steeped in cold water for 24 hours for a smooth low-acid taste.",4.50,4.9,600,6936250300070a4242d2,cold,medium,ARABICA,"[""Coffee"",""Water""]",true,"[{""size"": ""Small"", ""price"": ""4.50""}, {""size"": ""Medium"", ""price"": ""5.00""}, {""size"": ""Large"", ""price"": ""5.50""}]"
Nitro Cold Brew,Velvety Texture,Speciality Drinks,"Cold brew infused with nitrogen gas for a creamy texture.",5.25,4.9,450,6936250300070a4242d2,cold,medium,ARABICA,"[""Coffee"",""Nitrogen""]",true,"[{""size"": ""Small"", ""price"": ""5.25""}, {""size"": ""Medium"", ""price"": ""5.75""}, {""size"": ""Large"", ""price"": ""6.25""}]"
Iced Latte,Cool & Milky,Speciality Drinks,"Espresso and cold milk served over ice.",4.50,4.6,400,693621920016ed77c35a,cold,medium,ARABICA,"[""Espresso"",""Milk"",""Ice""]",true,"[{""size"": ""Small"", ""price"": ""4.50""}, {""size"": ""Medium"", ""price"": ""5.00""}, {""size"": ""Large"", ""price"": ""5.50""}]"
Hot Chocolate,Classic Cocoa,Speciality Drinks,"Steamed milk with rich chocolate sauce and whipped cream.",3.50,4.8,300,693621a90013a34a37d8,hot,medium,ARABICA,"[""Chocolate"",""Milk""]",true,"[{""size"": ""Small"", ""price"": ""3.50""}, {""size"": ""Medium"", ""price"": ""4.00""}, {""size"": ""Large"", ""price"": ""4.50""}]"
Red Eye,Coffee with Kick,Coffee,"Regular drip coffee topped with a shot of espresso for extra caffeine.",3.50,4.7,210,6936689d0023b7bf5b53,hot,medium,ARABICA,"[""Coffee"",""Espresso""]",true,"[{""size"": ""Small"", ""price"": ""3.50""}, {""size"": ""Medium"", ""price"": ""4.00""}, {""size"": ""Large"", ""price"": ""4.50""}]"
Honey Lavender Latte,Floral Notes,Latte,"Latte infused with honey and lavender syrup.",5.50,4.8,190,6936219b0027aaeff97d,hot,medium,ARABICA,"[""Espresso"",""Honey"",""Lavender"",""Milk""]",true,"[{""size"": ""Small"", ""price"": ""5.50""}, {""size"": ""Medium"", ""price"": ""6.00""}, {""size"": ""Large"", ""price"": ""6.50""}]"
Iced Tea Lemonade,Arnold Palmer,Speciality Drinks,"Half iced black tea half lemonade.",3.75,4.6,250,693621920016ed77c35a,cold,medium,ARABICA,"[""Tea"",""Lemonade""]",true,"[{""size"": ""Small"", ""price"": ""3.75""}, {""size"": ""Medium"", ""price"": ""4.25""}, {""size"": ""Large"", ""price"": ""4.75""}]"
